name,address,country,cost
Claudia Woodard,Ap #448-4550 Neque St.,Sweden,7
Ann Ingram,Ap #856-8149 Felis Rd.,India,1
Fallon Fowler,Ap #328-2740 Integer Av.,Italy,3
Amela Thornton,741-6759 Ut Rd.,Italy,8
Rhoda Spence,Ap #750-4481 Libero. Street,Sweden,9
Judith Weaver,373-1956 Tempor St.,South Korea,4
MacKenzie Munoz,"P.O. Box 290, 7369 Purus. Street",Spain,3
Felicia Parker,9262 Proin Rd.,Germany,8
Mary England,Ap #361-2368 Metus Rd.,New Zealand,3
Yetta Yates,"P.O. Box 298, 6688 Amet Ave",Peru,10
Samuel Nguyen,Ap #157-1073 Molestie Street,Peru,6
Caryn Mcintosh,6487 Mauris St.,Russian Federation,4
Guinevere Sawyer,460-9694 Aliquam St.,Russian Federation,1
Hyatt Leblanc,664-5246 Ultrices Street,Costa Rica,6
Shad Green,1017 Vitae St.,Canada,4
Dane Tanner,"P.O. Box 908, 3125 Euismod Rd.",Poland,9
Felix Fry,406 Laoreet St.,Peru,2
Erin Hatfield,649-6257 Augue Ave,Nigeria,9
Alisa Lewis,"314-7468 Sapien, Street",Singapore,6
Adena Glass,Ap #157-715 Nec Rd.,Italy,6
Vivian Turner,"P.O. Box 818, 6376 Accumsan Av.",Costa Rica,6
Josiah Chase,"P.O. Box 808, 2531 Dolor St.",China,0
Melodie Conway,"P.O. Box 490, 9553 Elementum, Street",India,6
Vladimir Cotton,251-9775 Tellus Street,Ireland,4
Sharon Noble,553-6558 Facilisi. St.,Russian Federation,1
Rahim Gregory,Ap #552-3236 Lorem Road,Italy,5
Xandra Hayden,Ap #140-4765 Eu Av.,Belgium,9
Gabriel Griffin,5430 Pede Avenue,United States,8
Gail Riddle,Ap #258-6153 Magna Road,Netherlands,6
Imelda Dorsey,Ap #497-7491 Egestas Ave,Canada,9
Jade Marshall,"P.O. Box 161, 6187 Erat. Ave",Turkey,3
Evelyn Fulton,6665 Facilisis Street,Costa Rica,5
Dillon Hanson,Ap #868-5018 Natoque Rd.,Sweden,1
Kareem Saunders,Ap #516-1982 Ultrices Rd.,Germany,9
Beau Witt,Ap #399-9269 Integer Street,South Korea,10
Miranda Bolton,"P.O. Box 157, 9654 Auctor St.",Indonesia,0
Zachary Fulton,Ap #776-5762 Lacinia St.,Russian Federation,2
Jescie Rocha,315 Erat Avenue,China,7
Cora Mueller,195-8652 Arcu Rd.,Ukraine,4
Bernard Woodward,181-1792 Quisque St.,New Zealand,6
Eliana Carey,464-1933 Arcu. Street,India,1
Mollie Mcintyre,Ap #998-6685 Condimentum. Ave,Sweden,8
Nadine Hogan,4263 Venenatis Ave,Norway,3
Axel Carey,Ap #461-9381 Etiam Av.,South Africa,6
Eaton Rodriguez,445-5057 Ipsum. St.,Australia,4
Magee Burgess,2824 Blandit St.,Russian Federation,4
Jasper Richardson,"Ap #818-4979 Eu, St.",Sweden,3
Amos Espinoza,"P.O. Box 412, 1381 Nisi St.",Germany,4
Lila Glenn,369-1182 Interdum St.,Mexico,3
Arthur Franklin,"P.O. Box 873, 9267 Porta Avenue",New Zealand,2
Jameson Parsons,Ap #293-8358 Non Street,Canada,2
Dane Burke,Ap #542-6202 In Road,South Korea,9
Ali Pearson,Ap #671-9425 Mollis St.,Belgium,2
Elijah Holt,226-6622 Hendrerit. Street,Philippines,2
September Ray,9106 Duis Ave,France,4
Justina Cooke,Ap #182-6132 Eget St.,New Zealand,7
Jerome Whitfield,Ap #384-7716 Ornare Av.,Poland,7
Yael Raymond,Ap #889-5831 Ut Road,Costa Rica,1
Jonah Chase,Ap #147-4482 Nunc Road,Philippines,9
Hanae Lee,Ap #999-4208 Dapibus St.,Russian Federation,0
Arsenio Herrera,"P.O. Box 241, 645 Lorem St.",Poland,6
Hamish Acevedo,134-2813 In Street,Colombia,5
Hedley Pennington,688-2780 Congue St.,Netherlands,3
Kennan Serrano,660-9068 Et Rd.,Pakistan,9
Uma Roach,Ap #557-4119 Et Avenue,Philippines,3
Priscilla Merritt,Ap #286-6588 Arcu Rd.,Belgium,8
Deirdre Vinson,8934 Sem. Road,Indonesia,0
Zelda Cash,Ap #354-7089 Eu Rd.,Vietnam,4
Ulric Harrington,Ap #726-9628 Mauris Street,Canada,1
Margaret Dominguez,558-9687 Pharetra. Av.,Vietnam,7
Seth Charles,Ap #939-5267 Tempor St.,Netherlands,4
Miriam Sutton,Ap #608-1932 Tristique St.,Chile,10
Chaney Fox,"3329 Lectus, Av.",Poland,7
Kaitlin Atkinson,"P.O. Box 431, 6332 Eleifend. Avenue",Singapore,8
Karina Rivers,9997 Proin Rd.,Ireland,6
Camille Santiago,"756-4928 Ut, Ave",Spain,1
Blaze Patrick,"4205 Eu, Avenue",Philippines,5
Nell Moses,280-7177 Fringilla St.,Nigeria,5
Aaron Lewis,Ap #359-1244 Sed Ave,South Korea,2
Jonas Green,304-1953 Dolor Rd.,United Kingdom,0
Natalie Sloan,440-2175 Eleifend. Av.,Vietnam,5
Simone Allen,Ap #238-1559 Pede Avenue,Vietnam,2
Audrey Browning,7352 Turpis Av.,Australia,8
Keaton Ward,2079 Mus. Road,Philippines,8
Lars Osborn,Ap #543-5658 Purus Ave,Costa Rica,10
Brendan Frost,Ap #818-2475 A Av.,Nigeria,9
Addison Bowers,"P.O. Box 992, 4444 Justo Road",Australia,4
Nayda Ortega,4016 Vulputate St.,France,6
Deanna Gonzalez,"Ap #649-2609 Adipiscing, Av.",Netherlands,5
Deborah Gill,Ap #271-7136 Est Avenue,Germany,1
Isadora Frederick,Ap #717-436 Etiam St.,Mexico,8
Vernon Richmond,7108 Ipsum Rd.,Chile,2
Emma Carrillo,223-8006 Mauris Av.,India,3
Macaulay Sims,883-2786 Sem Rd.,Germany,2
Lucas Gallagher,891-4013 Etiam Rd.,India,5
Yetta Crane,Ap #293-2979 Egestas. Road,Australia,3
Elvis Whitney,"P.O. Box 477, 4914 Dui. Ave",Philippines,9
Hector Howell,"P.O. Box 105, 5361 Nam Av.",Brazil,4
Hasad Ramos,"251-1490 Erat, St.",China,8
Carl Oneal,727-2562 Netus Rd.,China,4
Yolanda Chapman,575-5240 Nisi Street,Ukraine,10
Scarlet Tyson,485-832 Dis Road,France,9
